Name,Type,Latitude,Logitude
2667,SingleHouse,7.737329270259157,7.737329270259157
4053,SingleHouse,7.7287485819233765,7.7287485819233765
3999,SingleHouse,7.728854095433087,7.728854095433087
2743,Garage,7.729351800636223,7.729351800636223
3915,SingleHouse,7.72975374649368,7.72975374649368
2695,Garage,7.731563198450391,7.731563198450391
4247,SingleHouse,7.745545506384093,7.745545506384093
3695,Garage,7.741103921423907,7.741103921423907
3742,SingleHouse,7.729855465072505,7.729855465072505
3912,SingleHouse,7.729014883494086,7.729014883494086
3776,SingleHouse,7.730083211311523,7.730083211311523
3954,SingleHouse,7.728973663607641,7.728973663607641
3805,SingleHouse,7.730282990681938,7.730282990681938
3825,SingleHouse,7.730493863720788,7.730493863720788
3614,SingleHouse,7.7288293927267375,7.7288293927267375
3673,SingleHouse,7.729299589020224,7.729299589020224
4096,SingleHouse,7.728801714300059,7.728801714300059
4412,SingleHouse,7.748681991117723,7.748681991117723
3514,SingleHouse,7.72913065609701,7.72913065609701
3492,SingleHouse,7.7292463742304305,7.7292463742304305
3425,SingleHouse,7.7292360402129034,7.7292360402129034
3414,SingleHouse,7.729224692301847,7.729224692301847
3874,SingleHouse,7.730386896900151,7.730386896900151
3844,SingleHouse,7.729192856113256,7.729192856113256
3759,SingleHouse,7.729481610726549,7.729481610726549
3411,Garage,7.7293971061745905,7.7293971061745905
3783,SingleHouse,7.731110593917836,7.731110593917836
3710,SingleHouse,7.731414555867839,7.731414555867839
3642,SingleHouse,7.732209647928562,7.732209647928562
3300,SingleHouse,7.729278000560687,7.729278000560687
3575,CommercialBuilding,7.725197368808095,7.725197368808095
3201,SingleHouse,7.72934095647652,7.72934095647652
3111,SingleHouse,7.729274253354637,7.729274253354637
3058,SingleHouse,7.730151335787964,7.730151335787964
3098,SingleHouse,7.729995325611332,7.729995325611332
3128,SingleHouse,7.729900593675561,7.729900593675561
3109,SingleHouse,7.730014831719742,7.730014831719742
3087,SingleHouse,7.729968383097684,7.729968383097684
3141,SingleHouse,7.7298126584246765,7.7298126584246765
3164,SingleHouse,7.729808759635262,7.729808759635262
3101,SingleHouse,7.729378671900726,7.729378671900726
3728,CommercialBuilding,7.725403209639146,7.725403209639146
3035,SingleHouse,7.730167612149954,7.730167612149954
3276,CommercialBuilding,7.7290972253135015,7.7290972253135015
3387,CommercialBuilding,7.728584986826105,7.728584986826105
3090,LightBuilding,7.728650889860586,7.728650889860586
3353,CommercialBuilding,7.72826344905849,7.72826344905849
4068,CommercialBuilding,7.725584282178829,7.725584282178829
3206,SingleHouse,7.729677527084206,7.729677527084206
4343,CommercialBuilding,7.725966136893188,7.725966136893188
3301,SingleHouse,7.72897538491624,7.72897538491624
3045,CommercialBuilding,7.729030099487801,7.729030099487801
3280,LightBuilding,7.728560217302224,7.728560217302224
3250,CommercialBuilding,7.727254171599631,7.727254171599631
3112,CommercialBuilding,7.727665981901602,7.727665981901602
3139,SingleHouse,7.729107105963809,7.729107105963809
3089,CommercialBuilding,7.727922587546294,7.727922587546294
3348,CommercialBuilding,7.726876714150491,7.726876714150491
3380,CommercialBuilding,7.728019616954084,7.728019616954084
3374,CommercialBuilding,7.726752308348683,7.726752308348683
3192,CommercialBuilding,7.728383811839233,7.728383811839233
4267,SingleHouse,7.746742200113999,7.746742200113999
3321,CommercialBuilding,7.727159687387354,7.727159687387354
3185,CommercialBuilding,7.727587669447173,7.727587669447173
3144,CommercialBuilding,7.727542070447417,7.727542070447417
3376,CommercialBuilding,7.727453292280259,7.727453292280259
3289,SingleHouse,7.729071481481041,7.729071481481041
3092,SingleHouse,7.7296665048577085,7.7296665048577085
4593,CommercialBuilding,7.7280120897327125,7.7280120897327125
4595,CollectiveHouse,7.729182585000274,7.729182585000274
4596,CommercialBuilding,7.7279086623700035,7.7279086623700035
4594,CollectiveHouse,7.728779453658327,7.728779453658327
3223,LightBuilding,7.729513230513426,7.729513230513426
3365,CommercialBuilding,7.725931614741131,7.725931614741131
3161,CommercialBuilding,7.726384426590372,7.726384426590372
3402,CommercialBuilding,7.725841765960227,7.725841765960227
3457,CommercialBuilding,7.725761974093329,7.725761974093329
3360,CommercialBuilding,7.724896908431248,7.724896908431248
3909,CommercialBuilding,7.725419534174079,7.725419534174079
3094,CommercialBuilding,7.726463722102063,7.726463722102063
3441,CommercialBuilding,7.7248347033736975,7.7248347033736975
3419,CommercialBuilding,7.725608711793599,7.725608711793599
3394,CommercialBuilding,7.724922463547827,7.724922463547827
2673,CommercialBuilding,7.729190648249978,7.729190648249978
4589,CommercialBuilding,7.727238187484011,7.727238187484011
4585,CommercialBuilding,7.7291106967099825,7.7291106967099825
4591,CommercialBuilding,7.729053716976478,7.729053716976478
4584,CommercialBuilding,7.72970983853257,7.72970983853257
4586,CommercialBuilding,7.727367900220672,7.727367900220672
4587,CommercialBuilding,7.728787549781494,7.728787549781494
4588,CommercialBuilding,7.727600413264476,7.727600413264476
2983,SingleHouse,7.73211973852044,7.73211973852044
2995,SingleHouse,7.73265400340295,7.73265400340295
2976,SingleHouse,7.732935163092714,7.732935163092714
4605,SingleHouse,7.732855017325397,7.732855017325397
2931,SingleHouse,7.732851809502021,7.732851809502021
2951,SingleHouse,7.732715634496493,7.732715634496493
2973,SingleHouse,7.732485160107485,7.732485160107485
2970,SingleHouse,7.732246738076432,7.732246738076432
2921,SingleHouse,7.732331007215491,7.732331007215491
2944,SingleHouse,7.732170659997584,7.732170659997584
2954,SingleHouse,7.73208867164779,7.73208867164779
2980,SingleHouse,7.731866324664131,7.731866324664131
